wave,inten,std
3942.913,6060.689,24.849
3947.570,6296.309,25.319
3952.227,6547.412,25.813
3956.883,6835.710,26.362
3961.537,7159.576,26.948
3966.191,7433.679,27.481
3970.843,7514.997,27.618
3975.495,7783.430,28.102
3980.145,7894.695,28.306
3984.795,8126.532,28.705
3989.443,8280.846,28.956
3994.091,8485.126,29.335
3998.737,8663.121,29.635
4003.383,8829.992,29.904
4008.027,8944.444,30.104
4012.671,9142.331,30.421
4017.313,9243.465,30.600
4021.954,9422.839,30.891
4026.595,9477.651,31.000
4031.234,9601.649,31.184
4035.872,9588.160,31.168
4040.510,9541.377,31.087
4045.146,9202.657,30.531
4049.782,8978.704,30.172
4054.416,8767.722,29.823
4059.049,8789.711,29.865
4063.682,8898.742,30.022
4068.313,9157.059,30.463
4072.944,9338.728,30.758
4077.573,9517.770,31.067
4082.201,9764.727,31.465
4086.829,9980.033,31.802
4091.455,10448.287,32.520
4096.081,10836.822,33.118
4100.705,11281.891,33.767
4105.329,11546.065,34.155
4109.952,11820.978,34.580
4114.573,12053.680,34.893
4119.194,12166.112,35.062
4123.813,12392.798,35.397
4128.432,12489.921,35.527
4133.050,12706.947,35.828
4137.667,12701.263,35.825
4142.282,12969.866,36.174
4146.897,13119.912,36.387
4151.511,13207.804,36.528
4156.124,13275.475,36.600
4160.736,13406.550,36.802
4165.347,13342.302,36.708
4169.957,13629.773,37.098
4174.566,13748.669,37.247
4179.175,13853.182,37.402
4183.782,13963.549,37.542
4188.388,14140.731,37.781
4192.994,14021.912,37.642
4197.598,14297.593,37.991
4202.202,14306.111,38.016
4206.804,14479.318,38.229
4211.406,14496.932,38.252
4216.006,14646.716,38.459
4220.606,14654.842,38.470
4225.205,14869.870,38.736
4229.803,14854.504,38.719
4234.400,15147.490,39.082
4238.996,15113.044,39.067
4243.591,15305.521,39.307
4248.185,15279.748,39.269
4252.779,15443.860,39.479
4257.371,15560.516,39.630
4261.963,15660.214,39.775
4266.553,15599.356,39.676
4271.143,15743.527,39.862
4275.732,15815.253,39.954
4280.319,15854.413,39.995
4284.906,15699.643,39.810
4289.492,15580.189,39.674
4294.077,15206.000,39.163
4298.662,14728.179,38.563
4303.245,14318.226,38.037
4307.827,13975.564,37.592
4312.409,13960.195,37.561
4316.990,14111.856,37.760
4321.569,14232.301,37.946
4326.148,14516.409,38.300
4330.726,14535.527,38.342
4335.303,14810.013,38.709
4339.880,15400.643,39.458
4344.455,16088.796,40.325
4349.029,16673.665,41.037
4353.603,17079.798,41.542
4358.176,17369.786,41.876
4362.748,17539.941,42.090
4367.319,17736.340,42.305
4371.889,17858.505,42.467
4376.458,17897.831,42.501
4381.026,18112.088,42.776
4385.594,18094.499,42.748
4390.160,18204.806,42.864
4394.726,18332.093,43.028
4399.291,18498.051,43.205
4403.855,18539.791,43.265
4408.418,18614.270,43.350
4412.981,18501.889,43.257
4417.542,18652.223,43.396
4422.103,18639.710,43.399
4426.662,18649.824,43.395
4431.221,18812.308,43.587
4435.779,18837.896,43.608
4440.337,18824.282,43.593
4444.893,18732.998,43.505
4449.449,18739.213,43.496
4454.003,18832.640,43.593
4458.557,18848.885,43.644
4463.110,18921.994,43.715
4467.663,18935.383,43.720
4472.214,19132.799,43.952
4476.765,18997.657,43.818
4481.314,19163.035,43.983
4485.863,19354.751,44.211
4490.411,19591.790,44.480
4494.959,19538.057,44.427
4499.505,19667.997,44.558
4504.051,19638.623,44.534
4508.595,19755.325,44.653
4513.139,19896.356,44.829
4517.683,19890.664,44.819
4522.225,19961.670,44.884
4526.766,20000.013,44.934
4531.307,19998.225,44.929
4535.847,20149.218,45.097
4540.386,20175.358,45.127
4544.925,20390.851,45.347
4549.462,20303.865,45.245
4553.999,20411.832,45.361
4558.535,20482.586,45.455
4563.070,20595.539,45.586
4567.604,20701.099,45.667
4572.138,20732.137,45.729
4576.671,20674.670,45.672
4581.203,20905.597,45.929
4585.734,20844.697,45.843
4590.264,21235.103,46.266
4594.794,21218.407,46.254
4599.323,21257.088,46.285
4603.851,21319.158,46.359
4608.378,21402.390,46.463
4612.905,21443.404,46.488
4617.431,21478.411,46.520
4621.956,21576.909,46.626
4626.480,21694.674,46.764
4631.003,21740.936,46.809
4635.526,21816.730,46.882
4640.048,21938.313,47.026
4644.569,22046.949,47.110
4649.089,22149.668,47.239
4653.609,22235.902,47.318
4658.128,22333.417,47.425
4662.646,22363.752,47.467
4667.163,22471.574,47.579
4671.680,22459.428,47.564
4676.196,22527.734,47.645
4680.711,22683.500,47.799
4685.225,22553.205,47.657
4689.739,22763.636,47.895
4694.252,22892.591,48.013
4698.764,22841.100,47.969
4703.275,22757.899,47.879
4707.786,23046.820,48.184
4712.296,22925.681,48.043
4716.805,23110.202,48.244
4721.314,23154.823,48.296
4725.821,23070.112,48.199
4730.328,23216.447,48.344
4734.835,23321.970,48.462
4739.340,23251.531,48.394
4743.845,23378.525,48.528
4748.349,23325.883,48.465
4752.852,23409.946,48.552
4757.355,23515.268,48.667
4761.857,23619.553,48.748
4766.358,23450.455,48.589
4770.859,23575.849,48.716
4775.359,23716.975,48.849
4779.858,23845.279,48.985
4784.356,23747.267,48.894
4788.854,24009.674,49.149
4793.351,24053.657,49.202
4797.847,24188.137,49.345
4802.343,24090.815,49.233
4806.838,24091.288,49.238
4811.332,24175.693,49.320
4815.825,24138.920,49.291
4820.318,24070.046,49.235
4824.810,23969.400,49.115
4829.302,23540.041,48.694
4833.792,23258.113,48.385
4838.282,22250.182,47.332
4842.772,21461.206,46.495
4847.261,20524.657,45.464
4851.749,19920.299,44.819
4856.236,19663.648,44.524
4860.723,19508.164,44.335
4865.209,19500.961,44.322
4869.694,20614.078,45.571
4874.179,22149.661,47.228
4878.663,23377.879,48.514
4883.146,23857.637,48.987
4887.628,24283.354,49.443
4892.110,24420.861,49.582
4896.592,24519.548,49.676
4901.072,24516.151,49.682
4905.552,24553.490,49.721
4910.032,24567.500,49.725
4914.510,24496.271,49.653
4918.988,24458.582,49.623
4923.466,24593.851,49.742
4927.943,24675.372,49.814
4932.419,24627.884,49.787
4936.894,24687.391,49.853
4941.369,24914.311,50.062
4945.843,24898.138,50.058
4950.317,24850.345,49.997
4954.789,24829.392,49.989
4959.262,24908.940,50.061
4963.733,24909.352,50.065
4968.204,24912.981,50.071
4972.675,24924.455,50.098
4977.144,24883.375,50.061
4981.613,25038.693,50.188
4986.082,24930.058,50.120
4990.550,25101.216,50.270
4995.017,24933.804,50.115
4999.484,25068.359,50.243
5003.950,24904.822,50.078
5008.415,25046.774,50.202
5012.880,24971.058,50.136
5017.344,24975.113,50.142
5021.807,24931.149,50.096
5026.270,24962.209,50.131
5030.732,25035.854,50.207
