index,wave,mag,width
306,8196.0,5.733,16.0
307,8212.0,5.717,16.0
308,8228.0,5.77,16.0
309,8244.0,5.733,16.0
310,8260.0,5.722,16.0
311,8276.0,5.74,16.0
312,8292.0,5.745,16.0
313,8308.0,5.736,16.0
314,8324.0,5.736,16.0
315,8340.0,5.73,16.0
316,8356.0,5.727,16.0
317,8372.0,5.726,16.0
318,8388.0,5.728,16.0
319,8404.0,5.732,16.0
320,8420.0,5.73,16.0
321,8436.0,5.743,16.0
322,8452.0,5.745,16.0
323,8468.0,5.744,16.0
324,8484.0,5.735,16.0
325,8500.0,5.758,16.0
326,8516.0,5.739,16.0
327,8532.0,5.747,16.0
328,8548.0,5.786,16.0
329,8564.0,5.733,16.0
330,8580.0,5.734,16.0
331,8596.0,5.808,16.0
332,8612.0,5.765,16.0
333,8628.0,5.71,16.0
334,8644.0,5.732,16.0
335,8660.0,5.833,16.0
336,8676.0,5.813,16.0
337,8692.0,5.718,16.0
338,8708.0,5.695,16.0
339,8724.0,5.722,16.0
340,8740.0,5.823,16.0
341,8756.0,5.885,16.0
342,8772.0,5.764,16.0
343,8788.0,5.71,16.0
344,8804.0,5.704,16.0
345,8820.0,5.709,16.0
346,8836.0,5.741,16.0
347,8852.0,5.859,16.0
348,8868.0,5.934,16.0
349,8884.0,5.795,16.0
350,8900.0,5.737,16.0
351,8916.0,5.73,16.0
352,8932.0,5.737,16.0
353,8948.0,5.755,16.0
354,8964.0,5.794,16.0
355,8980.0,5.836,16.0
356,8996.0,5.928,16.0
357,9012.0,6.069,16.0
358,9028.0,5.969,16.0
359,9044.0,5.818,16.0
360,9060.0,5.807,16.0
361,9076.0,5.835,16.0
362,9092.0,5.832,16.0
363,9108.0,5.827,16.0
364,9124.0,5.834,16.0
365,9140.0,5.848,16.0
366,9156.0,5.856,16.0
367,9172.0,5.85,16.0
368,9188.0,5.848,16.0
369,9204.0,5.863,16.0
370,9220.0,6.007,16.0
371,9236.0,6.064,16.0
372,9252.0,5.913,16.0
373,9268.0,5.871,16.0
374,9284.0,5.902,16.0
375,9300.0,5.968,16.0
376,9316.0,6.107,16.0
377,9332.0,6.213,16.0
378,9348.0,6.261,16.0
379,9364.0,6.214,16.0
380,9380.0,6.162,16.0
381,9396.0,5.998,16.0
382,9412.0,6.024,16.0
383,9428.0,6.12,16.0
384,9444.0,6.148,16.0
385,9460.0,6.12,16.0
386,9476.0,6.097,16.0
387,9492.0,6.115,16.0
388,9508.0,6.096,16.0
389,9524.0,6.167,16.0
390,9540.0,6.276,16.0
391,9556.0,6.285,16.0
392,9572.0,6.106,16.0
393,9588.0,6.086,16.0
394,9604.0,6.034,16.0
395,9620.0,6.023,16.0
396,9636.0,6.008,16.0
397,9652.0,5.992,16.0
398,9668.0,5.965,16.0
399,9684.0,5.926,16.0
400,9700.0,5.916,16.0
401,9716.0,5.931,16.0
402,9732.0,5.954,16.0
403,9748.0,5.971,16.0
404,9764.0,5.964,16.0
405,9780.0,5.941,16.0
406,9796.0,5.952,16.0
407,9812.0,5.932,16.0
408,9828.0,5.918,16.0
409,9844.0,5.916,16.0
410,9860.0,5.902,16.0
411,9876.0,5.915,16.0
412,9892.0,5.909,16.0
413,9908.0,5.909,16.0
414,9924.0,5.902,16.0
415,9940.0,5.913,16.0
416,9956.0,5.926,16.0
417,9972.0,5.913,16.0
418,9988.0,5.934,16.0
419,10004.0,5.943,16.0
420,10020.0,5.959,16.0
421,10036.0,6.051,16.0
422,10052.0,6.167,16.0
423,10068.0,6.039,16.0
424,10084.0,5.946,16.0
425,10100.0,5.931,16.0
426,10116.0,5.935,16.0
427,10132.0,5.932,16.0
428,10148.0,5.911,16.0
429,10164.0,5.926,16.0
430,10180.0,5.921,16.0
431,10196.0,5.944,16.0
432,10212.0,5.894,16.0
433,10228.0,5.896,16.0
434,10244.0,5.922,16.0
435,10260.0,5.928,16.0
436,10276.0,5.929,16.0
437,10292.0,5.932,16.0
438,10308.0,6.021,16.0
439,10324.0,5.896,16.0
440,10340.0,6.116,16.0
441,10356.0,6.013,16.0
442,10372.0,6.025,16.0
443,10388.0,5.976,16.0
444,10404.0,6.018,16.0
