wave,inten,std
4399.291,90.467,1.742
4403.855,88.104,1.772
4408.418,79.926,1.729
4412.981,84.911,1.745
4417.542,91.956,1.777
4422.103,94.060,1.779
4426.662,97.843,1.823
4431.221,101.814,1.856
4435.779,102.017,1.872
4440.337,118.129,1.926
4444.893,110.829,1.936
4449.449,104.918,1.935
4454.003,108.881,1.930
4458.557,99.778,1.928
4463.110,116.737,1.981
4467.663,111.624,1.961
4472.214,106.134,1.968
4476.765,101.422,1.947
4481.314,98.582,1.918
4485.863,94.549,1.917
4490.411,103.789,1.911
4494.959,96.931,1.916
4499.505,93.430,1.904
4504.051,92.437,1.907
4508.595,100.229,1.900
4513.139,94.882,1.902
4517.683,98.917,1.902
4522.225,93.596,1.872
4526.766,93.493,1.849
4531.307,101.936,1.885
4535.847,95.832,1.883
4540.386,96.823,1.861
4544.925,97.853,1.842
4549.462,90.549,1.850
4553.999,101.153,1.843
4558.535,91.906,1.832
4563.070,93.333,1.813
4567.604,101.123,1.814
4572.138,102.854,1.819
4576.671,101.348,1.799
4581.203,100.756,1.774
4585.734,103.791,1.787
4590.264,103.536,1.796
4594.794,108.975,1.796
4599.323,115.284,1.819
4603.851,109.856,1.794
4608.378,111.309,1.789
4612.905,114.066,1.795
4617.431,114.092,1.801
4621.956,122.044,1.826
4626.480,124.779,1.812
4631.003,117.092,1.805
4635.526,131.896,1.855
4640.048,134.174,1.845
4644.569,125.171,1.816
4649.089,122.870,1.809
4653.609,132.587,1.831
4658.128,120.581,1.793
4662.646,123.074,1.791
4667.163,134.731,1.817
4671.680,141.959,1.832
4676.196,138.751,1.834
4680.711,142.997,1.825
4685.225,132.235,1.818
4689.739,134.152,1.802
4694.252,129.653,1.781
4698.764,124.656,1.750
4703.275,119.764,1.725
4707.786,117.072,1.720
4712.296,123.673,1.736
4716.805,123.885,1.738
4721.314,115.963,1.705
4725.821,111.391,1.693
4730.328,123.893,1.730
4734.835,116.659,1.711
4739.340,117.362,1.697
4743.845,116.380,1.689
4748.349,111.704,1.669
4752.852,110.662,1.636
4757.355,106.019,1.619
4761.857,104.619,1.623
4766.358,107.705,1.607
4770.859,107.828,1.613
4775.359,117.794,1.640
4779.858,108.494,1.618
4784.356,111.438,1.636
4788.854,109.381,1.613
4793.351,112.038,1.629
4797.847,110.525,1.625
4802.343,112.928,1.633
4806.838,112.691,1.640
4811.332,112.956,1.634
4815.825,114.329,1.656
4820.318,120.704,1.685
4824.810,127.690,1.723
4829.302,168.296,1.910
4833.792,273.149,2.328
4838.282,433.272,2.850
4842.772,586.879,3.277
4847.261,743.811,3.655
4851.749,835.146,3.843
4856.236,925.943,4.044
4860.723,1070.775,4.345
4865.209,999.074,4.188
4869.694,534.871,3.139
4874.179,202.186,2.074
4878.663,135.176,1.783
4883.146,127.412,1.749
4887.628,120.323,1.711
4892.110,118.178,1.708
4896.592,127.084,1.737
4901.072,130.561,1.754
4905.552,133.694,1.781
4910.032,133.253,1.777
4914.510,142.818,1.809
4918.988,145.895,1.848
4923.466,165.589,1.924
4927.943,213.363,2.118
4932.419,379.792,2.681
4936.894,770.012,3.716
4941.369,1217.562,4.618
4945.843,1728.908,5.465
4950.317,2120.313,6.029
4954.789,2456.055,6.481
4959.262,2905.388,7.044
4963.733,2540.046,6.594
4968.204,1063.800,4.333
4972.675,344.836,2.603
4977.144,370.432,2.706
4981.613,851.531,3.920
4986.082,2144.823,6.076
4990.550,3560.534,7.786
4995.017,4942.007,9.148
4999.484,6163.870,10.211
5003.950,7540.498,11.275
5008.415,8632.895,12.055
5012.880,6256.627,10.276
5017.344,2044.686,5.942
5021.807,401.539,2.785
5026.270,179.709,2.001
5030.732,148.800,1.876
5035.194,134.762,1.831
5039.655,133.944,1.818
5044.116,133.033,1.820
5048.576,130.506,1.813
5053.035,127.166,1.800
5057.494,127.814,1.812
5061.952,121.036,1.785
5066.409,129.854,1.830
5070.866,120.328,1.827
5075.322,122.095,1.836
5079.778,118.468,1.844
5084.233,124.501,1.866
5088.688,123.201,1.866
5093.142,119.599,1.840
5097.595,125.578,1.819
5102.048,123.382,1.810
5106.500,121.149,1.787
5110.952,127.608,1.784
5115.403,119.323,1.793
5119.854,125.265,1.786
5124.304,122.281,1.783
5128.753,119.876,1.800
5133.202,122.495,1.807
5137.650,118.747,1.808
5142.098,125.978,1.791
5146.545,121.407,1.818
5150.991,133.112,1.840
5155.437,124.920,1.830
5159.883,112.324,1.790
5164.328,119.463,1.807
5168.772,121.564,1.808
5173.216,125.273,1.821
5177.659,127.279,1.824
5182.102,116.451,1.806
5186.544,118.280,1.819
5190.986,125.543,1.825
5195.427,123.618,1.852
5199.867,125.292,1.847
5204.307,127.483,1.852
5208.747,125.915,1.848
5213.186,125.564,1.835
5217.624,126.950,1.839
5222.062,122.939,1.847
5226.499,119.527,1.826
5230.936,129.268,1.838
5235.372,125.671,1.826
5239.808,126.696,1.832
5244.243,127.710,1.845
5248.678,129.991,1.848
5253.112,122.855,1.840
5257.546,124.211,1.848
5261.979,130.358,1.871
5266.412,125.137,1.851
5270.844,127.074,1.852
5275.276,129.886,1.850
5279.707,126.621,1.829
5284.137,127.484,1.868
5288.568,129.822,1.858
5292.997,127.451,1.855
5297.426,121.232,1.841
5301.855,123.331,1.852
5306.283,118.799,1.839
5310.711,119.933,1.851
5315.138,121.933,1.842
5319.565,115.644,1.821
5323.991,126.937,1.852
5328.416,124.491,1.860
5332.842,123.885,1.860
5337.266,126.321,1.871
5341.690,125.414,1.902
5346.114,120.493,1.919
5350.537,123.546,1.964
5354.960,124.023,1.989
5359.383,137.326,2.004
5363.804,123.228,1.959
5368.226,117.816,1.906
5372.647,119.189,1.919
5377.067,126.144,1.945
5381.487,138.291,1.964
5385.907,121.464,1.940
5390.326,122.381,1.928
5394.744,118.090,1.924
5399.162,124.658,1.955
5403.580,121.139,1.977
5407.997,124.355,1.994
